,bbox,image_id,category,name
28,"[653, 741, 49, 39]",10,1,bonirob_2016-05-23-10-37-10_0_frame110
29,"[488, 122, 403, 399]",10,1,bonirob_2016-05-23-10-37-10_0_frame110
30,"[717, 949, 31, 16]",11,1,bonirob_2016-05-23-10-37-10_0_frame111
31,"[617, 64, 190, 199]",11,1,bonirob_2016-05-23-10-37-10_0_frame111
32,"[617, 782, 188, 184]",12,1,bonirob_2016-05-23-10-37-10_0_frame112
33,"[438, 98, 487, 302]",12,1,bonirob_2016-05-23-10-37-10_0_frame112
34,"[469, 924, 122, 42]",13,1,bonirob_2016-05-23-10-37-10_0_frame113
35,"[556, 490, 234, 214]",13,1,bonirob_2016-05-23-10-37-10_0_frame113
36,"[587, 1, 177, 110]",13,1,bonirob_2016-05-23-10-37-10_0_frame113
37,"[573, 623, 230, 231]",14,1,bonirob_2016-05-23-10-37-10_0_frame114
38,"[638, 263, 67, 72]",14,1,bonirob_2016-05-23-10-37-10_0_frame114
39,"[619, 874, 39, 67]",15,1,bonirob_2016-05-23-10-37-10_0_frame115
40,"[679, 40, 12, 8]",15,1,bonirob_2016-05-23-10-37-10_0_frame115
41,"[673, 1, 81, 33]",15,1,bonirob_2016-05-23-10-37-10_0_frame115
42,"[583, 1, 91, 61]",15,1,bonirob_2016-05-23-10-37-10_0_frame115
43,"[659, 773, 79, 34]",16,1,bonirob_2016-05-23-10-37-10_0_frame116
44,"[564, 725, 94, 118]",16,1,bonirob_2016-05-23-10-37-10_0_frame116
45,"[637, 215, 134, 132]",16,1,bonirob_2016-05-23-10-37-10_0_frame116
46,"[620, 0, 68, 26]",17,1,bonirob_2016-05-23-10-37-10_0_frame117
47,"[563, 604, 105, 187]",18,1,bonirob_2016-05-23-10-37-10_0_frame118
48,"[514, 368, 202, 184]",19,1,bonirob_2016-05-23-10-37-10_0_frame119
49,"[571, 1, 78, 65]",19,1,bonirob_2016-05-23-10-37-10_0_frame119
50,"[426, 510, 334, 311]",20,1,bonirob_2016-05-23-10-37-10_0_frame120
51,"[473, 1, 337, 375]",20,1,bonirob_2016-05-23-10-37-10_0_frame120
52,"[465, 742, 339, 223]",21,1,bonirob_2016-05-23-10-37-10_0_frame121
53,"[496, 355, 120, 88]",21,1,bonirob_2016-05-23-10-37-10_0_frame121
54,"[460, 0, 213, 129]",22,1,bonirob_2016-05-23-10-37-10_0_frame122
55,"[443, 674, 217, 195]",23,1,bonirob_2016-05-23-10-37-10_0_frame123
56,"[420, 168, 192, 226]",23,1,bonirob_2016-05-23-10-37-10_0_frame123
57,"[414, 859, 189, 107]",24,1,bonirob_2016-05-23-10-37-10_0_frame124
58,"[404, 422, 211, 258]",25,1,bonirob_2016-05-23-10-37-10_0_frame125
59,"[423, 37, 185, 198]",25,1,bonirob_2016-05-23-10-37-10_0_frame125
60,"[413, 797, 184, 168]",26,1,bonirob_2016-05-23-10-37-10_0_frame126
61,"[369, 131, 314, 344]",26,1,bonirob_2016-05-23-10-37-10_0_frame126
62,"[484, 867, 74, 98]",27,1,bonirob_2016-05-23-10-37-10_0_frame127
63,"[386, 364, 267, 248]",27,1,bonirob_2016-05-23-10-37-10_0_frame127
64,"[361, 1, 307, 159]",27,1,bonirob_2016-05-23-10-37-10_0_frame127
65,"[336, 701, 310, 255]",28,1,bonirob_2016-05-23-10-37-10_0_frame128
66,"[323, 505, 311, 194]",29,1,bonirob_2016-05-23-10-37-10_0_frame129
67,"[456, 0, 132, 117]",29,1,bonirob_2016-05-23-10-37-10_0_frame129
68,"[430, 700, 132, 150]",30,1,bonirob_2016-05-23-10-37-10_0_frame130
69,"[438, 233, 118, 154]",30,1,bonirob_2016-05-23-10-37-10_0_frame130
70,"[440, 0, 95, 113]",31,1,bonirob_2016-05-23-10-37-10_0_frame131
71,"[421, 749, 89, 135]",32,1,bonirob_2016-05-23-10-37-10_0_frame132
72,"[339, 90, 318, 397]",32,1,bonirob_2016-05-23-10-37-10_0_frame132
73,"[517, 888, 87, 78]",33,1,bonirob_2016-05-23-10-37-10_0_frame133
74,"[421, 511, 132, 111]",33,1,bonirob_2016-05-23-10-37-10_0_frame133
75,"[614, 1, 50, 23]",33,1,bonirob_2016-05-23-10-37-10_0_frame133
76,"[311, 1, 316, 220]",33,1,bonirob_2016-05-23-10-37-10_0_frame133
77,"[298, 565, 412, 400]",34,1,bonirob_2016-05-23-10-37-10_0_frame134
78,"[303, 107, 364, 248]",34,1,bonirob_2016-05-23-10-37-10_0_frame134
79,"[361, 959, 14, 7]",35,1,bonirob_2016-05-23-10-37-10_0_frame135
80,"[468, 904, 58, 62]",35,1,bonirob_2016-05-23-10-37-10_0_frame135
81,"[313, 343, 301, 323]",35,1,bonirob_2016-05-23-10-37-10_0_frame135
82,"[573, 1, 38, 10]",35,1,bonirob_2016-05-23-10-37-10_0_frame135
83,"[495, 1, 32, 19]",35,1,bonirob_2016-05-23-10-37-10_0_frame135
84,"[400, 1, 94, 34]",35,1,bonirob_2016-05-23-10-37-10_0_frame135
85,"[362, 586, 251, 204]",36,1,bonirob_2016-05-23-10-37-10_0_frame136
86,"[283, 1, 393, 361]",36,1,bonirob_2016-05-23-10-37-10_0_frame136
87,"[265, 767, 389, 199]",37,1,bonirob_2016-05-23-10-37-10_0_frame137
88,"[313, 207, 371, 461]",37,1,bonirob_2016-05-23-10-37-10_0_frame137
89,"[240, 431, 403, 336]",38,1,bonirob_2016-05-23-10-37-10_0_frame138
90,"[347, 14, 293, 235]",38,1,bonirob_2016-05-23-10-37-10_0_frame138
91,"[357, 768, 268, 197]",39,1,bonirob_2016-05-23-10-37-10_0_frame139
92,"[375, 303, 186, 180]",39,1,bonirob_2016-05-23-10-37-10_0_frame139
93,"[324, 408, 367, 345]",40,1,bonirob_2016-05-23-10-37-10_0_frame140
94,"[418, 1, 312, 314]",40,1,bonirob_2016-05-23-10-37-10_0_frame140
95,"[388, 740, 317, 226]",41,1,bonirob_2016-05-23-10-37-10_0_frame141
96,"[502, 1, 95, 93]",41,1,bonirob_2016-05-23-10-37-10_0_frame141
97,"[332, 492, 372, 387]",42,1,bonirob_2016-05-23-10-37-10_0_frame142
98,"[404, 1, 178, 211]",42,1,bonirob_2016-05-23-10-37-10_0_frame142
99,"[356, 747, 209, 218]",43,1,bonirob_2016-05-23-10-37-10_0_frame143
100,"[334, 157, 370, 354]",43,1,bonirob_2016-05-23-10-37-10_0_frame143
101,"[518, 947, 43, 18]",44,1,bonirob_2016-05-23-10-37-10_0_frame144
102,"[358, 397, 349, 375]",44,1,bonirob_2016-05-23-10-37-10_0_frame144
103,"[499, 1, 128, 140]",44,1,bonirob_2016-05-23-10-37-10_0_frame144
104,"[479, 748, 127, 136]",45,1,bonirob_2016-05-23-10-37-10_0_frame145
105,"[386, 159, 254, 258]",45,1,bonirob_2016-05-23-10-37-10_0_frame145
106,"[471, 927, 49, 39]",46,1,bonirob_2016-05-23-10-37-10_0_frame146
107,"[558, 568, 125, 200]",46,1,bonirob_2016-05-23-10-37-10_0_frame146
108,"[394, 322, 407, 290]",46,1,bonirob_2016-05-23-10-37-10_0_frame146
109,"[569, 197, 39, 57]",46,1,bonirob_2016-05-23-10-37-10_0_frame146
110,"[380, 1, 437, 228]",46,1,bonirob_2016-05-23-10-37-10_0_frame146
111,"[358, 606, 448, 359]",47,1,bonirob_2016-05-23-10-37-10_0_frame147
112,"[466, 173, 328, 239]",47,1,bonirob_2016-05-23-10-37-10_0_frame147
113,"[450, 339, 368, 404]",48,1,bonirob_2016-05-23-10-37-10_0_frame148
114,"[775, 1, 157, 42]",48,1,bonirob_2016-05-23-10-37-10_0_frame148
115,"[703, 1, 55, 27]",48,1,bonirob_2016-05-23-10-37-10_0_frame148
116,"[610, 1, 119, 186]",48,1,bonirob_2016-05-23-10-37-10_0_frame148
117,"[459, 551, 446, 415]",49,1,bonirob_2016-05-23-10-37-10_0_frame149
118,"[434, 1, 452, 425]",49,1,bonirob_2016-05-23-10-37-10_0_frame149
119,"[455, 788, 324, 178]",50,1,bonirob_2016-05-23-10-37-10_0_frame150
120,"[500, 280, 356, 317]",50,1,bonirob_2016-05-23-10-37-10_0_frame150
121,"[777, 1, 142, 36]",50,1,bonirob_2016-05-23-10-37-10_0_frame150
122,"[639, 1, 125, 110]",50,1,bonirob_2016-05-23-10-37-10_0_frame150
123,"[494, 1, 152, 52]",50,1,bonirob_2016-05-23-10-37-10_0_frame150
124,"[473, 520, 426, 373]",51,1,bonirob_2016-05-23-10-37-10_0_frame151
125,"[589, 287, 14, 8]",51,1,bonirob_2016-05-23-10-37-10_0_frame151
126,"[714, 268, 13, 6]",51,1,bonirob_2016-05-23-10-37-10_0_frame151
127,"[679, 32, 19, 8]",51,1,bonirob_2016-05-23-10-37-10_0_frame151
128,"[521, 21, 376, 291]",51,1,bonirob_2016-05-23-10-37-10_0_frame151
129,"[570, 768, 315, 197]",52,1,bonirob_2016-05-23-10-37-10_0_frame152
130,"[528, 203, 383, 419]",52,1,bonirob_2016-05-23-10-37-10_0_frame152
131,"[715, 88, 15, 7]",52,1,bonirob_2016-05-23-10-37-10_0_frame152
132,"[668, 0, 137, 150]",52,1,bonirob_2016-05-23-10-37-10_0_frame152
133,"[703, 950, 41, 15]",53,1,bonirob_2016-05-23-10-37-10_0_frame153
134,"[486, 448, 405, 440]",53,1,bonirob_2016-05-23-10-37-10_0_frame153
135,"[472, 0, 465, 246]",53,1,bonirob_2016-05-23-10-37-10_0_frame153
136,"[451, 734, 467, 232]",54,1,bonirob_2016-05-23-10-37-10_0_frame154
137,"[655, 240, 15, 12]",54,1,bonirob_2016-05-23-10-37-10_0_frame154
138,"[566, 210, 216, 329]",54,1,bonirob_2016-05-23-10-37-10_0_frame154
139,"[673, 929, 75, 36]",55,1,bonirob_2016-05-23-10-37-10_0_frame155
140,"[613, 573, 176, 133]",55,1,bonirob_2016-05-23-10-37-10_0_frame155
141,"[684, 106, 17, 8]",55,1,bonirob_2016-05-23-10-37-10_0_frame155
142,"[740, 27, 13, 6]",55,1,bonirob_2016-05-23-10-37-10_0_frame155
143,"[623, 1, 201, 147]",55,1,bonirob_2016-05-23-10-37-10_0_frame155
144,"[620, 656, 201, 208]",56,1,bonirob_2016-05-23-10-37-10_0_frame156
145,"[566, 110, 252, 251]",56,1,bonirob_2016-05-23-10-37-10_0_frame156
146,"[671, 904, 69, 61]",57,1,bonirob_2016-05-23-10-37-10_0_frame157
147,"[517, 360, 302, 337]",57,1,bonirob_2016-05-23-10-37-10_0_frame157
148,"[590, 0, 222, 113]",57,1,bonirob_2016-05-23-10-37-10_0_frame157
149,"[573, 677, 222, 183]",58,1,bonirob_2016-05-23-10-37-10_0_frame158
150,"[605, 124, 202, 206]",58,1,bonirob_2016-05-23-10-37-10_0_frame158
151,"[607, 956, 26, 9]",59,1,bonirob_2016-05-23-10-37-10_0_frame159
152,"[678, 919, 66, 46]",59,1,bonirob_2016-05-23-10-37-10_0_frame159
153,"[611, 348, 216, 234]",59,1,bonirob_2016-05-23-10-37-10_0_frame159
154,"[605, 950, 29, 15]",60,1,bonirob_2016-05-23-10-37-10_0_frame160
155,"[517, 48, 292, 296]",60,1,bonirob_2016-05-23-10-37-10_0_frame160
156,"[548, 856, 192, 110]",61,1,bonirob_2016-05-23-10-37-10_0_frame161
157,"[751, 27, 13, 6]",61,1,bonirob_2016-05-23-10-37-10_0_frame161
158,"[748, 1, 70, 36]",61,1,bonirob_2016-05-23-10-37-10_0_frame161
159,"[625, 1, 82, 26]",61,1,bonirob_2016-05-23-10-37-10_0_frame161
160,"[583, 549, 216, 242]",62,1,bonirob_2016-05-23-10-37-10_0_frame162
161,"[615, 124, 155, 138]",62,1,bonirob_2016-05-23-10-37-10_0_frame162
162,"[597, 872, 153, 94]",63,1,bonirob_2016-05-23-10-37-10_0_frame163
163,"[624, 332, 235, 182]",63,1,bonirob_2016-05-23-10-37-10_0_frame163
164,"[688, 1, 73, 51]",63,1,bonirob_2016-05-23-10-37-10_0_frame163
165,"[489, 534, 386, 310]",64,1,bonirob_2016-05-23-10-37-10_0_frame164
166,"[466, 12, 445, 386]",64,1,bonirob_2016-05-23-10-37-10_0_frame164
167,"[518, 804, 374, 162]",65,1,bonirob_2016-05-23-10-37-10_0_frame165
168,"[524, 209, 286, 382]",65,1,bonirob_2016-05-23-10-37-10_0_frame165
169,"[713, 1, 112, 89]",65,1,bonirob_2016-05-23-10-37-10_0_frame165
170,"[616, 1, 96, 53]",65,1,bonirob_2016-05-23-10-37-10_0_frame165
171,"[537, 695, 105, 56]",66,1,bonirob_2016-05-23-10-37-10_0_frame166
172,"[604, 571, 227, 292]",66,1,bonirob_2016-05-23-10-37-10_0_frame166
173,"[592, 0, 227, 331]",66,1,bonirob_2016-05-23-10-37-10_0_frame166
174,"[573, 800, 224, 165]",67,1,bonirob_2016-05-23-10-37-10_0_frame167
175,"[585, 340, 97, 126]",67,1,bonirob_2016-05-23-10-37-10_0_frame167
176,"[687, 1, 110, 77]",67,1,bonirob_2016-05-23-10-37-10_0_frame167
177,"[521, 1, 152, 103]",67,1,bonirob_2016-05-23-10-37-10_0_frame167
178,"[493, 494, 331, 380]",68,1,bonirob_2016-05-23-10-37-10_0_frame168
179,"[448, 1, 382, 360]",68,1,bonirob_2016-05-23-10-37-10_0_frame168
180,"[546, 752, 270, 213]",69,1,bonirob_2016-05-23-10-37-10_0_frame169
181,"[498, 202, 274, 306]",69,1,bonirob_2016-05-23-10-37-10_0_frame169
182,"[519, 474, 297, 275]",70,1,bonirob_2016-05-23-10-37-10_0_frame170
183,"[515, 0, 300, 196]",70,1,bonirob_2016-05-23-10-37-10_0_frame170
184,"[496, 650, 301, 316]",71,1,bonirob_2016-05-23-10-37-10_0_frame171
185,"[513, 141, 341, 270]",71,1,bonirob_2016-05-23-10-37-10_0_frame171
186,"[699, 943, 31, 22]",72,1,bonirob_2016-05-23-10-37-10_0_frame172
187,"[766, 941, 65, 24]",72,1,bonirob_2016-05-23-10-37-10_0_frame172
188,"[716, 934, 13, 6]",72,1,bonirob_2016-05-23-10-37-10_0_frame172
189,"[627, 934, 43, 31]",72,1,bonirob_2016-05-23-10-37-10_0_frame172
190,"[497, 346, 309, 390]",72,1,bonirob_2016-05-23-10-37-10_0_frame172
191,"[727, 104, 21, 11]",72,1,bonirob_2016-05-23-10-37-10_0_frame172
192,"[835, 64, 13, 6]",72,1,bonirob_2016-05-23-10-37-10_0_frame172
193,"[474, 0, 394, 196]",72,1,bonirob_2016-05-23-10-37-10_0_frame172
194,"[448, 596, 404, 369]",73,1,bonirob_2016-05-23-10-37-10_0_frame173
195,"[541, 61, 322, 444]",73,1,bonirob_2016-05-23-10-37-10_0_frame173
196,"[612, 896, 78, 70]",74,1,bonirob_2016-05-23-10-37-10_0_frame174
197,"[531, 322, 330, 409]",74,1,bonirob_2016-05-23-10-37-10_0_frame174
198,"[572, 1, 252, 126]",74,1,bonirob_2016-05-23-10-37-10_0_frame174
199,"[520, 659, 286, 234]",75,1,bonirob_2016-05-23-10-37-10_0_frame175
200,"[592, 182, 160, 108]",75,1,bonirob_2016-05-23-10-37-10_0_frame175
201,"[736, 0, 72, 23]",76,1,bonirob_2016-05-23-10-37-10_0_frame176
202,"[662, 0, 30, 29]",76,1,bonirob_2016-05-23-10-37-10_0_frame176
203,"[567, 605, 220, 173]",77,1,bonirob_2016-05-23-10-37-10_0_frame177
204,"[663, 130, 13, 6]",77,1,bonirob_2016-05-23-10-37-10_0_frame177
205,"[817, 21, 13, 6]",77,1,bonirob_2016-05-23-10-37-10_0_frame177
206,"[629, 1, 329, 177]",77,1,bonirob_2016-05-23-10-37-10_0_frame177
207,"[613, 691, 330, 275]",78,1,bonirob_2016-05-23-10-37-10_0_frame178
208,"[611, 396, 13, 6]",78,1,bonirob_2016-05-23-10-37-10_0_frame178
209,"[522, 287, 328, 228]",78,1,bonirob_2016-05-23-10-37-10_0_frame178
210,"[565, 499, 256, 271]",79,1,bonirob_2016-05-23-10-37-10_0_frame179
211,"[729, 139, 13, 6]",79,1,bonirob_2016-05-23-10-37-10_0_frame179
212,"[560, 0, 311, 325]",79,1,bonirob_2016-05-23-10-37-10_0_frame179
213,"[547, 713, 309, 253]",80,1,bonirob_2016-05-23-10-37-10_0_frame180
214,"[452, 101, 433, 517]",80,1,bonirob_2016-05-23-10-37-10_0_frame180
215,"[604, 1, 47, 17]",80,1,bonirob_2016-05-23-10-37-10_0_frame180
216,"[551, 933, 60, 33]",81,1,bonirob_2016-05-23-10-37-10_0_frame181
217,"[516, 475, 307, 378]",81,1,bonirob_2016-05-23-10-37-10_0_frame181
218,"[661, 188, 32, 11]",81,1,bonirob_2016-05-23-10-37-10_0_frame181
219,"[608, 52, 146, 129]",81,1,bonirob_2016-05-23-10-37-10_0_frame181
220,"[594, 827, 147, 132]",82,1,bonirob_2016-05-23-10-37-10_0_frame182
221,"[482, 134, 394, 402]",82,1,bonirob_2016-05-23-10-37-10_0_frame182
222,"[609, 1, 117, 76]",82,1,bonirob_2016-05-23-10-37-10_0_frame182
223,"[440, 390, 441, 487]",83,1,bonirob_2016-05-23-10-37-10_0_frame183
224,"[552, 25, 278, 209]",83,1,bonirob_2016-05-23-10-37-10_0_frame183
225,"[582, 892, 201, 73]",84,1,bonirob_2016-05-23-10-37-10_0_frame184
226,"[798, 883, 21, 13]",84,1,bonirob_2016-05-23-10-37-10_0_frame184
227,"[448, 98, 393, 448]",84,1,bonirob_2016-05-23-10-37-10_0_frame184
228,"[555, 847, 70, 118]",85,1,bonirob_2016-05-23-10-37-10_0_frame185
229,"[540, 461, 176, 229]",85,1,bonirob_2016-05-23-10-37-10_0_frame185
230,"[401, 0, 442, 224]",85,1,bonirob_2016-05-23-10-37-10_0_frame185
231,"[381, 645, 445, 321]",86,1,bonirob_2016-05-23-10-37-10_0_frame186
232,"[444, 270, 108, 56]",86,1,bonirob_2016-05-23-10-37-10_0_frame186
233,"[528, 167, 229, 271]",86,1,bonirob_2016-05-23-10-37-10_0_frame186
234,"[362, 267, 435, 528]",87,1,bonirob_2016-05-23-10-37-10_0_frame187
235,"[427, 0, 315, 205]",87,1,bonirob_2016-05-23-10-37-10_0_frame187
236,"[407, 605, 317, 360]",88,1,bonirob_2016-05-23-10-37-10_0_frame188
237,"[317, 32, 386, 403]",88,1,bonirob_2016-05-23-10-37-10_0_frame188
238,"[568, 956, 49, 10]",89,1,bonirob_2016-05-23-10-37-10_0_frame189
239,"[303, 940, 115, 26]",89,1,bonirob_2016-05-23-10-37-10_0_frame189
240,"[476, 844, 100, 122]",89,1,bonirob_2016-05-23-10-37-10_0_frame189
241,"[477, 1, 126, 134]",89,1,bonirob_2016-05-23-10-37-10_0_frame189
242,"[326, 1, 110, 35]",89,1,bonirob_2016-05-23-10-37-10_0_frame189
243,"[294, 529, 428, 391]",90,1,bonirob_2016-05-23-10-37-10_0_frame190
244,"[329, 69, 356, 364]",90,1,bonirob_2016-05-23-10-37-10_0_frame190
245,"[309, 764, 348, 201]",91,1,bonirob_2016-05-23-10-37-10_0_frame191
246,"[387, 161, 243, 347]",91,1,bonirob_2016-05-23-10-37-10_0_frame191
247,"[503, 0, 56, 94]",91,1,bonirob_2016-05-23-10-37-10_0_frame191
248,"[468, 899, 76, 67]",92,1,bonirob_2016-05-23-10-37-10_0_frame192
249,"[1127, 547, 27, 24]",92,1,bonirob_2016-05-23-10-37-10_0_frame192
250,"[1082, 531, 13, 8]",92,1,bonirob_2016-05-23-10-37-10_0_frame192
251,"[1097, 507, 80, 43]",92,1,bonirob_2016-05-23-10-37-10_0_frame192
252,"[445, 448, 267, 359]",92,1,bonirob_2016-05-23-10-37-10_0_frame192
253,"[648, 81, 14, 8]",92,1,bonirob_2016-05-23-10-37-10_0_frame192
254,"[310, 55, 43, 30]",92,1,bonirob_2016-05-23-10-37-10_0_frame192
255,"[570, 38, 98, 42]",92,1,bonirob_2016-05-23-10-37-10_0_frame192
256,"[312, 18, 138, 68]",92,1,bonirob_2016-05-23-10-37-10_0_frame192
257,"[442, 1, 92, 89]",92,1,bonirob_2016-05-23-10-37-10_0_frame192
258,"[301, 797, 44, 33]",93,1,bonirob_2016-05-23-10-37-10_0_frame193
259,"[561, 782, 97, 36]",93,1,bonirob_2016-05-23-10-37-10_0_frame193
260,"[495, 651, 113, 110]",93,1,bonirob_2016-05-23-10-37-10_0_frame193
261,"[302, 638, 209, 217]",93,1,bonirob_2016-05-23-10-37-10_0_frame193
262,"[451, 262, 48, 58]",93,1,bonirob_2016-05-23-10-37-10_0_frame193
263,"[334, 362, 375, 393]",94,1,bonirob_2016-05-23-10-37-10_0_frame194
264,"[346, 0, 385, 198]",94,1,bonirob_2016-05-23-10-37-10_0_frame194
265,"[322, 600, 389, 339]",95,1,bonirob_2016-05-23-10-37-10_0_frame195
266,"[394, 73, 389, 400]",95,1,bonirob_2016-05-23-10-37-10_0_frame195
267,"[474, 956, 20, 10]",96,1,bonirob_2016-05-23-10-37-10_0_frame196
268,"[381, 947, 50, 19]",96,1,bonirob_2016-05-23-10-37-10_0_frame196
269,"[528, 931, 30, 35]",96,1,bonirob_2016-05-23-10-37-10_0_frame196
270,"[558, 886, 106, 80]",96,1,bonirob_2016-05-23-10-37-10_0_frame196
271,"[311, 616, 37, 33]",96,1,bonirob_2016-05-23-10-37-10_0_frame196
272,"[381, 334, 399, 381]",96,1,bonirob_2016-05-23-10-37-10_0_frame196
273,"[470, 321, 320, 381]",98,1,bonirob_2016-05-23-10-37-10_0_frame198
274,"[441, 0, 340, 173]",98,1,bonirob_2016-05-23-10-37-10_0_frame198
275,"[431, 675, 359, 275]",99,1,bonirob_2016-05-23-10-37-10_0_frame199
276,"[508, 77, 319, 353]",99,1,bonirob_2016-05-23-10-37-10_0_frame199
277,"[491, 832, 315, 134]",100,1,bonirob_2016-05-23-10-37-10_0_frame200
278,"[424, 303, 420, 411]",100,1,bonirob_2016-05-23-10-37-10_0_frame200
279,"[568, 1, 227, 154]",100,1,bonirob_2016-05-23-10-37-10_0_frame200
280,"[503, 682, 268, 240]",101,1,bonirob_2016-05-23-10-37-10_0_frame201
281,"[509, 64, 403, 448]",101,1,bonirob_2016-05-23-10-37-10_0_frame201
282,"[770, 937, 129, 29]",102,1,bonirob_2016-05-23-10-37-10_0_frame202
283,"[511, 855, 254, 111]",102,1,bonirob_2016-05-23-10-37-10_0_frame202
284,"[487, 228, 401, 446]",102,1,bonirob_2016-05-23-10-37-10_0_frame202
285,"[683, 1, 49, 64]",102,1,bonirob_2016-05-23-10-37-10_0_frame202
286,"[606, 631, 148, 191]",103,1,bonirob_2016-05-23-10-37-10_0_frame203
287,"[560, 1, 287, 408]",103,1,bonirob_2016-05-23-10-37-10_0_frame203
288,"[615, 742, 212, 223]",104,1,bonirob_2016-05-23-10-37-10_0_frame204
289,"[585, 360, 231, 220]",104,1,bonirob_2016-05-23-10-37-10_0_frame204
290,"[698, 1, 54, 33]",104,1,bonirob_2016-05-23-10-37-10_0_frame204
291,"[619, 580, 210, 240]",105,1,bonirob_2016-05-23-10-37-10_0_frame205
292,"[1075, 1, 71, 10]",105,1,bonirob_2016-05-23-10-37-10_0_frame205
293,"[942, 1, 115, 142]",105,1,bonirob_2016-05-23-10-37-10_0_frame205
294,"[597, 1, 249, 286]",105,1,bonirob_2016-05-23-10-37-10_0_frame205
295,"[580, 791, 252, 175]",106,1,bonirob_2016-05-23-10-37-10_0_frame206
296,"[924, 626, 215, 266]",106,1,bonirob_2016-05-23-10-37-10_0_frame206
297,"[582, 266, 299, 337]",106,1,bonirob_2016-05-23-10-37-10_0_frame206
298,"[758, 1, 124, 31]",106,1,bonirob_2016-05-23-10-37-10_0_frame206
299,"[739, 1, 13, 8]",106,1,bonirob_2016-05-23-10-37-10_0_frame206
300,"[642, 1, 73, 63]",106,1,bonirob_2016-05-23-10-37-10_0_frame206
301,"[547, 508, 318, 354]",107,1,bonirob_2016-05-23-10-37-10_0_frame207
302,"[625, 335, 123, 117]",108,1,bonirob_2016-05-23-10-37-10_0_frame208
303,"[730, 1, 43, 43]",108,1,bonirob_2016-05-23-10-37-10_0_frame208
304,"[548, 461, 331, 326]",109,1,bonirob_2016-05-23-10-37-10_0_frame209
305,"[592, 1, 357, 324]",109,1,bonirob_2016-05-23-10-37-10_0_frame209
306,"[600, 761, 332, 204]",110,1,bonirob_2016-05-23-10-37-10_0_frame210
307,"[776, 334, 50, 44]",110,1,bonirob_2016-05-23-10-37-10_0_frame210
308,"[601, 204, 189, 235]",110,1,bonirob_2016-05-23-10-37-10_0_frame210
309,"[586, 425, 224, 264]",111,1,bonirob_2016-05-23-10-37-10_0_frame211
310,"[617, 1, 188, 161]",111,1,bonirob_2016-05-23-10-37-10_0_frame211
311,"[599, 705, 192, 231]",112,1,bonirob_2016-05-23-10-37-10_0_frame212
312,"[527, 147, 319, 301]",112,1,bonirob_2016-05-23-10-37-10_0_frame212
313,"[672, 934, 61, 31]",113,1,bonirob_2016-05-23-10-37-10_0_frame213
314,"[606, 373, 286, 316]",113,1,bonirob_2016-05-23-10-37-10_0_frame213
315,"[629, 179, 247, 152]",114,1,bonirob_2016-05-23-10-37-10_0_frame214
316,"[670, 931, 55, 34]",115,1,bonirob_2016-05-23-10-37-10_0_frame215
